Crop,Model,BLEU-4(‰),Average ROUGE F-score(‰)
wheat,Freeze10-MTL(S2.5K+G2.5K),256.57,255.35
wheat,Freeze10-MTL(S2.5K+G20K),287.11,282.65
wheat,Freeze10-MTL(S2.5K+G5K),286.66,283.29
wheat,Freeze10,258.7,270.08
wheat,Freeze15,304.08,308.23
wheat,Freeze20,325.38,324.56
wheat,Freeze3,123.05,170.29
wheat,Freeze30,368.2,358.0
wheat,Freeze5,170.37,195.54
wheat,Lora10,109.32,162.47
wheat,Lora15,109.02,166.55
wheat,Lora20,105.07,157.83
wheat,Lora3,96.95,147.71
wheat,Lora30,110.71,165.04
wheat,Lora5,109.0,159.94
average,ChatGLM3_6B,85.85692307692307,127.50692307692307
average,Freeze10,325.2361538461538,318.4315384615384
average,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),233.12076923076924,228.62692307692308
average,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),286.30538461538464,277.0230769230769
average,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),344.19153846153847,329.08230769230767
average,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),417.42846153846153,397.88000000000005
average,Freeze10(S2.5K)-DMT(S2.5K+G5K),445.4569230769231,425.79615384615386
average,Freeze10-MTL(S2.5K+G1.25K),340.76076923076926,329.9253846153846
average,Freeze10-MTL(S2.5K+G10K),370.22999999999996,355.2684615384615
average,Freeze10-MTL(S2.5K+G2.5K),352.3623076923077,338.2238461538461
average,Freeze10-MTL(S2.5K+G20K),363.59461538461534,347.9838461538462
average,Freeze10-MTL(S2.5K+G5K),368.52153846153846,350.7007692307692
average,Freeze15,378.8092307692308,364.7415384615385
average,Freeze20,390.7692307692308,376.6207692307692
average,Freeze3,155.6646153846154,175.39615384615385
average,Freeze30,410.70461538461535,395.0869230769231
average,Freeze5,203.77769230769232,211.6976923076923
average,Lora10,137.82076923076923,164.72692307692307
average,Lora15,139.65,165.2969230769231
average,Lora20,142.95461538461538,167.35384615384615
average,Lora3,116.87538461538462,154.66923076923078
average,Lora30,139.7453846153846,164.33307692307693
average,Lora5,123.92538461538462,158.41153846153844
